Model,Feature,Importance
Cytokines,MDC,0.4462
Cytokines,VEGF,0.3543
Cytokines,CMV.Status,0.3525
Cytokines,IL-8,0.3192
Cytokines,TNFa,0.308
Cytokines,Flt3 Ligand,0.2571
Cytokines,HSV1_2.Status,0.2415
Cytokines,MIP1b,0.2323
Cytokines,IL-5,0.2292
Cytokines,IL-6,0.1986
Cytometry,HGB Day 0,0.0901
Cytometry,WBC Day 0,0.0754
Cytometry,HCT Day 0,0.0694
Cytometry,%MON Day 0,0.0547
Cytometry,RBC Day 0,0.0547
Cytometry,%LYM Day 0,0.0408
Cytometry,%GRA Day 0,0.0382
Cytometry,PLT Day 0,0.0191
Clonal Breadth,fraction_sequences_ab,0.2763
Clonal Breadth,fraction_sequences_gd,0.2603
Clonal Depth,uniqueMoleculeFraction_gd,0.5657
Clonal Depth,uniqueMoleculeFraction_ab,0.2549
RNA Data,M13.24.TBD_EXP3,0.0041
RNA Data,M14.74.TBD_EXP0,0.004
RNA Data,M12.10.Inflammation_EXP0,0.0037
RNA Data,M13.28.Protein synthesis_EXP3,0.0037
RNA Data,M16.26.TBD_EXP3,0.0037
RNA Data,M15.61.Monocytes_EXP7,0.0036
RNA Data,M14.19.Inflammation_EXP0,0.0036
RNA Data,M14.2.Protein synthesis_EXP7,0.0035
RNA Data,M15.100.Erythroid cells_EXP0,0.0035
RNA Data,M15.97.Erythroid cells_EXP7,0.0035
